,player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url,market_value
3174,42710,148,toby-alderweireld,Toby Alderweireld,Belgium,Belgium,1989-03-02,Defender,Centre-Back,Right,187,https://www.transfermarkt.co.uk/toby-alderweireld/profil/spieler/42710,9900000
3175,127032,148,serge-aurier,Serge Aurier,Cote d'Ivoire,Cote d'Ivoire,1992-12-24,Defender,Right-Back,Right,176,https://www.transfermarkt.co.uk/serge-aurier/profil/spieler/127032,18000000
3176,581683,148,nile-john,Nile John,White City,England,2003-03-06,Midfield,Attacking Midfield,Right,0,https://www.transfermarkt.co.uk/nile-john/profil/spieler/581683,180000
3177,341049,148,cameron-carter-vickers,Cameron Carter Vickers,England,United States,1997-12-31,Defender,Centre-Back,Right,183,https://www.transfermarkt.co.uk/cameron-carter-vickers/profil/spieler/341049,1800000
3178,559794,148,jack-clarke,Jack Clarke,England,England,2000-11-23,Attack,Right Winger,Right,181,https://www.transfermarkt.co.uk/jack-clarke/profil/spieler/559794,4500000
3179,182877,985,anthony-martial,Anthony Martial,Essonne,France,1995-12-05,Attack,Centre-Forward,Right,181,https://www.transfermarkt.co.uk/anthony-martial/profil/spieler/182877,40500000
3180,240306,985,bruno-fernandes,Bruno Fernandes,Gueifães,Portugal,1994-09-08,Midfield,Attacking Midfield,Right,179,https://www.transfermarkt.co.uk/bruno-fernandes/profil/spieler/240306,81000000
3181,507700,985,brandon-williams,Brandon Williams,England,England,2000-09-03,Defender,Left-Back,Right,172,https://www.transfermarkt.co.uk/brandon-williams/profil/spieler/507700,9000000
3182,46001,148,moussa-sissoko,Moussa Sissoko,France,France,1989-08-16,Midfield,Central Midfield,Right,187,https://www.transfermarkt.co.uk/moussa-sissoko/profil/spieler/46001,9000000
3183,74683,985,nemanja-matic,Nemanja Matic,Jugoslawien (SFR),Serbia,1988-08-01,Midfield,Defensive Midfield,Left,194,https://www.transfermarkt.co.uk/nemanja-matic/profil/spieler/74683,7200000
3184,191614,985,fred,Fred,Brazil,Brazil,1993-03-05,Midfield,Central Midfield,Left,169,https://www.transfermarkt.co.uk/fred/profil/spieler/191614,19800000
3185,450936,148,tanguy-ndombele,Tanguy Ndombele,France,France,1996-12-28,Midfield,Central Midfield,Right,181,https://www.transfermarkt.co.uk/tanguy-ndombele/profil/spieler/450936,45000000
3186,258919,985,dean-henderson,Dean Henderson,England,England,1997-03-12,Goalkeeper,,Right,188,https://www.transfermarkt.co.uk/dean-henderson/profil/spieler/258919,19800000
3187,39381,148,gareth-bale,Gareth Bale,Wales,Wales,1989-07-16,Attack,Right Winger,Left,185,https://www.transfermarkt.co.uk/gareth-bale/profil/spieler/39381,16200000
3188,536835,985,amad-diallo,Amad Diallo,Cote d'Ivoire,Cote d'Ivoire,2002-07-11,Attack,Right Winger,Left,173,https://www.transfermarkt.co.uk/amad-diallo/profil/spieler/536835,16200000
3189,192611,985,joel-pereira,Joel Pereira,Switzerland,Portugal,1996-06-28,Goalkeeper,,Right,189,https://www.transfermarkt.co.uk/joel-pereira/profil/spieler/192611,270000
3190,184573,985,victor-lindelof,Victor Lindelof,Sweden,Sweden,1994-07-17,Defender,Centre-Back,Right,187,https://www.transfermarkt.co.uk/victor-lindelof/profil/spieler/184573,21600000
3191,13460,985,lee-grant,Lee Grant,England,England,1983-01-27,Goalkeeper,,Right,193,https://www.transfermarkt.co.uk/lee-grant/profil/spieler/13460,225000
3192,132098,985,harry-kane,Harry Kane,Chingford,England,1993-07-28,Attack,Centre-Forward,Right,188,https://www.transfermarkt.co.uk/harry-kane/profil/spieler/132098,108000000
3193,44068,985,juan-mata,Juan Mata,Spain,Spain,1988-04-28,Midfield,Attacking Midfield,Left,170,https://www.transfermarkt.co.uk/juan-mata/profil/spieler/44068,3600000
3194,532826,985,mason-greenwood,Mason Greenwood,Wibsey,England,2001-10-01,Attack,Right Winger,Both,181,https://www.transfermarkt.co.uk/mason-greenwood/profil/spieler/532826,45000000
