,player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url,league_id,market_value,games,minutes_played,goals,assists,wins,draws,losses,yellow_cards,red_cards,age,club_name
429,339829,39,pierre-kunde-malong,Pierre Kunde Malong,Cameroon,Cameroon,1995-07-26,Midfield,Central Midfield,Right,180,https://www.transfermarkt.co.uk/pierre-kunde-malong/profil/spieler/339829,L1,3150000,11,513,0,0,1,3,7,1,0,25,1 Fsv Mainz 05
430,470815,39,niklas-tauer,Niklas Tauer,Germany,Germany,2001-02-17,Midfield,Defensive Midfield,Right,183,https://www.transfermarkt.co.uk/niklas-tauer/profil/spieler/470815,L1,630000,5,64,0,0,2,1,2,0,0,20,1 Fsv Mainz 05
431,532495,39,marlon-mustapha,Marlon Mustapha,Austria,Austria,2001-05-24,Attack,Centre-Forward,Right,185,https://www.transfermarkt.co.uk/marlon-mustapha/profil/spieler/532495,L1,270000,0,0,0,0,0,0,0,0,0,20,1 Fsv Mainz 05
432,168543,39,levin-oztunali,Levin Oztunali,Germany,Germany,1996-03-15,Midfield,Right Midfield,Right,185,https://www.transfermarkt.co.uk/levin-oztunali/profil/spieler/168543,L1,2250000,17,755,1,2,4,4,9,0,0,25,1 Fsv Mainz 05
433,160963,39,robin-zentner,Robin Zentner,Germany,Germany,1994-10-28,Goalkeeper,Goalkeeper,Right,195,https://www.transfermarkt.co.uk/robin-zentner/profil/spieler/160963,L1,4500000,31,2790,0,0,9,9,13,2,0,26,1 Fsv Mainz 05
434,126281,39,alexander-hack,Alexander Hack,Germany,Germany,1993-09-08,Defender,Centre-Back,Left,193,https://www.transfermarkt.co.uk/alexander-hack/profil/spieler/126281,L1,1800000,21,1368,1,0,6,6,9,2,0,27,1 Fsv Mainz 05
435,288253,39,jeremiah-st-juste,Jeremiah St Juste,Netherlands,Netherlands,1996-10-19,Defender,Centre-Back,Right,186,https://www.transfermarkt.co.uk/jeremiah-st-juste/profil/spieler/288253,L1,14400000,32,2880,0,1,10,8,14,4,0,24,1 Fsv Mainz 05
436,337090,39,marius-liesegang,Marius Liesegang,Germany,Germany,2000-01-07,Goalkeeper,Goalkeeper,Right,188,https://www.transfermarkt.co.uk/marius-liesegang/profil/spieler/337090,L1,90000,0,0,0,0,0,0,0,0,0,21,1 Fsv Mainz 05
437,247555,39,edimilson-fernandes,Edimilson Fernandes,Switzerland,Switzerland,1996-04-15,Midfield,Central Midfield,Right,190,https://www.transfermarkt.co.uk/edimilson-fernandes/profil/spieler/247555,L1,4500000,14,842,0,1,2,3,9,1,0,25,1 Fsv Mainz 05
438,206542,39,robin-quaison,Robin Quaison,Sweden,Sweden,1993-10-09,Attack,Second Striker,Right,183,https://www.transfermarkt.co.uk/robin-quaison/profil/spieler/206542,L1,6750000,28,1482,6,3,7,7,14,1,0,27,1 Fsv Mainz 05
439,520468,167,iago,Iago,São Paulo,Brazil,1997-03-23,Defender,Left-Back,Left,181,https://www.transfermarkt.co.uk/iago/profil/spieler/520468,L1,4500000,18,1564,1,2,6,4,8,2,0,24,Fc Augsburg
440,251299,39,finn-dahmen,Finn Dahmen,Germany,Germany,1998-03-27,Goalkeeper,Goalkeeper,Right,188,https://www.transfermarkt.co.uk/finn-dahmen/profil/spieler/251299,L1,1800000,3,270,0,0,1,0,2,0,0,23,1 Fsv Mainz 05
441,333647,39,jonathan-burkardt,Jonathan Burkardt,Germany,Germany,2000-07-11,Attack,Centre-Forward,Right,181,https://www.transfermarkt.co.uk/jonathan-burkardt/profil/spieler/333647,L1,4050000,29,1375,2,2,8,8,13,0,0,20,1 Fsv Mainz 05
442,278343,167,felix-uduokhai,Felix Uduokhai,Germany,Germany,1997-09-09,Defender,Centre-Back,Left,192,https://www.transfermarkt.co.uk/felix-uduokhai/profil/spieler/278343,L1,14400000,29,2610,1,0,9,6,14,5,0,23,Fc Augsburg
443,189475,167,carlos-gruezo,Carlos Gruezo,Ecuador,Ecuador,1995-04-19,Midfield,Defensive Midfield,Right,171,https://www.transfermarkt.co.uk/carlos-gruezo/profil/spieler/189475,L1,4500000,28,2092,0,0,8,4,16,4,0,26,Fc Augsburg
444,39025,39,danny-latza,Danny Latza,Germany,Germany,1989-12-07,Midfield,Central Midfield,Right,179,https://www.transfermarkt.co.uk/danny-latza/profil/spieler/39025,L1,1350000,29,1806,0,2,7,8,14,8,0,31,1 Fsv Mainz 05
445,106872,39,kevin-stoger,Kevin Stoger,Austria,Austria,1993-08-27,Midfield,Attacking Midfield,Left,175,https://www.transfermarkt.co.uk/kevin-stoger/profil/spieler/106872,L1,2520000,19,528,3,0,5,5,9,3,0,27,1 Fsv Mainz 05
446,78339,167,rafal-gikiewicz,Rafal Gikiewicz,Poland,Poland,1987-10-26,Goalkeeper,Goalkeeper,Right,190,https://www.transfermarkt.co.uk/rafal-gikiewicz/profil/spieler/78339,L1,1350000,34,3060,0,0,10,6,18,3,0,33,Fc Augsburg
447,57845,167,tobias-strobl,Tobias Strobl,Germany,Germany,1990-05-12,Midfield,Defensive Midfield,Right,188,https://www.transfermarkt.co.uk/tobias-strobl/profil/spieler/57845,L1,1800000,29,1849,0,0,8,6,15,4,0,31,Fc Augsburg
448,211530,39,omer-hanin,Omer Hanin,Israel,Israel,1998-05-14,Goalkeeper,Goalkeeper,Both,192,https://www.transfermarkt.co.uk/omer-hanin/profil/spieler/211530,L1,180000,0,0,0,0,0,0,0,0,0,23,1 Fsv Mainz 05
449,120205,167,michael-gregoritsch,Michael Gregoritsch,Austria,Austria,1994-04-18,Attack,Second Striker,Left,193,https://www.transfermarkt.co.uk/michael-gregoritsch/profil/spieler/120205,L1,2700000,24,831,1,2,9,4,11,1,0,27,Fc Augsburg
450,345886,167,ruben-vargas,Ruben Vargas,Luzern,Switzerland,1998-08-05,Attack,Left Winger,Right,179,https://www.transfermarkt.co.uk/ruben-vargas/profil/spieler/345886,L1,11700000,30,1614,6,3,7,6,17,2,1,22,Fc Augsburg
451,146714,167,tomas-koubek,Tomas Koubek,Czech Republic,Czech Republic,1992-08-26,Goalkeeper,Goalkeeper,Right,197,https://www.transfermarkt.co.uk/tomas-koubek/profil/spieler/146714,L1,1350000,0,0,0,0,0,0,0,0,0,28,Fc Augsburg
452,401639,167,lukas-petkov,Lukas Petkov,Germany,Germany,2000-11-01,Midfield,Central Midfield,Both,183,https://www.transfermarkt.co.uk/lukas-petkov/profil/spieler/401639,L1,180000,1,3,0,0,0,0,1,0,0,20,Fc Augsburg
453,381250,167,benjamin-leneis,Benjamin Leneis,Germany,Germany,1999-03-08,Goalkeeper,Goalkeeper,Both,195,https://www.transfermarkt.co.uk/benjamin-leneis/profil/spieler/381250,L1,180000,0,0,0,0,0,0,0,0,0,22,Fc Augsburg
454,119234,39,karim-onisiwo,Karim Onisiwo,Austria,Austria,1992-03-17,Attack,Centre-Forward,Right,188,https://www.transfermarkt.co.uk/karim-onisiwo/profil/spieler/119234,L1,3150000,31,1842,4,3,9,8,14,2,0,29,1 Fsv Mainz 05
455,124410,167,rani-khedira,Rani Khedira,Germany,Germany,1994-01-27,Midfield,Defensive Midfield,Right,188,https://www.transfermarkt.co.uk/rani-khedira/profil/spieler/124410,L1,4500000,27,1824,1,0,9,6,12,5,0,27,Fc Augsburg
456,38410,167,daniel-caligiuri,Daniel Caligiuri,Germany,Italy,1988-01-15,Attack,Right Winger,Right,182,https://www.transfermarkt.co.uk/daniel-caligiuri/profil/spieler/38410,L1,1800000,33,2670,6,5,10,6,17,5,0,33,Fc Augsburg
457,249157,167,fredrik-jensen,Fredrik Jensen,Finland,Finland,1997-09-09,Midfield,Attacking Midfield,Right,183,https://www.transfermarkt.co.uk/fredrik-jensen/profil/spieler/249157,L1,1800000,13,369,0,2,3,1,9,0,0,23,Fc Augsburg
458,243188,167,laszlo-benes,Laszlo Benes,Slovakia,Slovakia,1997-09-09,Midfield,Central Midfield,Left,181,https://www.transfermarkt.co.uk/laszlo-benes/profil/spieler/243188,L1,3600000,19,807,1,2,3,1,8,3,0,23,Fc Augsburg
459,106405,167,jeffrey-gouweleeuw,Jeffrey Gouweleeuw,Netherlands,Netherlands,1991-07-10,Defender,Centre-Back,Right,187,https://www.transfermarkt.co.uk/jeffrey-gouweleeuw/profil/spieler/106405,L1,6300000,32,2835,1,0,10,6,16,9,0,29,Fc Augsburg
460,353826,167,robert-gumny,Robert Gumny,Poland,Poland,1998-06-04,Defender,Right-Back,Right,178,https://www.transfermarkt.co.uk/robert-gumny/profil/spieler/353826,L1,2700000,24,1371,1,1,7,4,13,4,0,23,Fc Augsburg
461,146163,167,raphael-framberger,Raphael Framberger,Germany,Germany,1995-09-06,Defender,Right-Back,Right,179,https://www.transfermarkt.co.uk/raphael-framberger/profil/spieler/146163,L1,1800000,21,1546,0,1,7,5,9,6,0,25,Fc Augsburg
462,588747,167,tim-civeja,Tim Civeja,Germany,Germany,2002-01-04,Midfield,Central Midfield,Both,180,https://www.transfermarkt.co.uk/tim-civeja/profil/spieler/588747,L1,270000,3,31,0,0,0,0,3,0,0,19,Fc Augsburg
463,288429,167,mads-pedersen,Mads Pedersen,Denmark,Denmark,1996-09-01,Defender,Left-Back,Left,174,https://www.transfermarkt.co.uk/mads-pedersen/profil/spieler/288429,L1,990000,15,883,0,1,2,1,12,1,0,24,Fc Augsburg
464,58124,167,julian-schieber,Julian Schieber,Germany,Germany,1989-02-13,Attack,Centre-Forward,Left,186,https://www.transfermarkt.co.uk/julian-schieber/profil/spieler/58124,L1,0,0,0,0,0,0,0,0,0,0,32,Fc Augsburg
465,43984,39,daniel-brosinski,Daniel Brosinski,Germany,Germany,1988-07-17,Defender,Right-Back,Right,178,https://www.transfermarkt.co.uk/daniel-brosinski/profil/spieler/43984,L1,720000,21,1430,2,1,6,5,10,0,0,32,1 Fsv Mainz 05
466,152963,167,florian-niederlechner,Florian Niederlechner,Germany,Germany,1990-10-24,Attack,Centre-Forward,Left,187,https://www.transfermarkt.co.uk/florian-niederlechner/profil/spieler/152963,L1,3600000,28,1745,5,4,6,5,17,4,0,30,Fc Augsburg
467,84938,3,timo-horn,Timo Horn,Germany,Germany,1993-05-12,Goalkeeper,Goalkeeper,Left,192,https://www.transfermarkt.co.uk/timo-horn/profil/spieler/84938,L1,3600000,34,3010,0,0,8,9,17,0,0,28,1 Fc Koln
468,244940,3,salih-ozcan,Salih Ozcan,Germany,Germany,1998-01-11,Midfield,Central Midfield,Right,180,https://www.transfermarkt.co.uk/salih-ozcan/profil/spieler/244940,L1,3150000,28,1368,0,1,7,8,13,3,0,23,1 Fc Koln
469,21327,3,ron-robert-zieler,Ron Robert Zieler,Germany,Germany,1989-02-12,Goalkeeper,Goalkeeper,Right,188,https://www.transfermarkt.co.uk/ron-robert-zieler/profil/spieler/21327,L1,900000,1,50,0,0,0,1,0,0,0,32,1 Fc Koln
